,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,residence_area_type1,sourcing_channel1,premium,renewal_prob,incentives,hours
281,0.676,12418,270090,2.0,0.0,0.0,99.62,17,0,1,20100,0.19820977345795412,217.43976781956076,4.193455326118309
283,0.555,19353,287910,2.0,1.0,2.0,99.06,11,0,1,24300,0.06111657450342246,55.1564674864423,1.2880650030623864
320,0.221,19360,137540,3.0,2.0,0.0,99.33,16,1,0,9600,0.18816371041879285,84.37989690359163,1.901852346806877
355,0.753,15710,258860,4.0,2.0,0.0,98.74,18,1,0,20100,0.06843586666762347,44.07592487048323,1.0433588879338218
414,0.925,16804,101570,3.0,0.0,1.0,98.63,9,1,0,3300,0.12061475766537748,-111.44809447667002,-3.213054645825857
453,0.863,18623,93050,0.0,0.0,0.0,99.56,5,0,0,7500,0.48044110897222164,199.0812608038255,3.9207463045538073
458,0.652,17898,342100,2.0,0.0,0.0,98.59,28,0,0,3300,0.2698916297908483,-15.245471064832687,-0.3884932012839659
463,0.618,17895,76850,0.0,0.0,0.0,99.06,8,0,0,7500,0.5362877199786134,219.2052491138746,4.219027216253689
474,0.215,15700,120140,3.0,0.0,1.0,98.16,17,1,1,7500,0.16973404018365182,33.07085913608123,0.7935166745334288
493,0.832,17898,90050,1.0,2.0,0.0,99.18,5,0,0,5400,0.05027880329837379,-151.91881743163492,-4.6198783950226785
507,0.119,22641,249100,2.0,2.0,1.0,99.13,7,1,0,13800,0.10582745067377171,52.71358148572489,1.234696542501259
519,0.528,21912,123060,4.0,4.0,0.0,99.4,12,1,1,9600,0.07650799125614169,-39.78255627403215,-1.0457030013554758
520,0.635,22271,132120,2.0,0.0,0.0,99.0,8,1,0,9600,0.27683967361069545,146.14063939648878,3.0604738471329442
548,1.0,17899,129150,1.0,1.0,0.0,99.5,4,0,3,7500,0.13608131446867267,2.726225661027445,0.06792390871425469
566,1.0,15701,117530,0.0,3.0,1.0,99.65,3,0,0,5400,0.06274491091050106,-128.85418255427592,-3.8007170282159897
578,0.075,17527,180120,1.0,2.0,0.0,99.68,22,1,3,5400,0.14683979285613769,-30.157896132057903,-0.7830971921917596
592,0.908,12785,54100,2.0,1.0,1.0,99.36,5,1,0,3300,0.07912357506488198,-155.88469575233287,-4.765550998428605
598,0.359,13154,159070,0.0,0.0,0.0,98.78,13,1,1,7500,0.595407603987583,238.85998828779114,4.496220036475659
600,0.107,9499,48150,0.0,0.0,1.0,99.39,10,1,0,5700,0.2432027122887293,45.18672429115705,1.0681969637177247
619,0.17,12415,232590,0.0,0.0,0.0,99.35,7,1,2,13800,0.8037109119334327,433.2738150438234,6.614842089383299
626,0.043,15336,276140,0.0,0.0,0.0,98.82,18,1,3,13800,0.6777684080518739,393.45001279952845,6.260469529137338
633,0.836,14976,276120,1.0,0.0,0.0,98.31,14,1,2,13800,0.18563391763152132,140.01096424381004,2.9533122594662253
636,0.872,9503,78120,0.0,1.0,0.0,99.63,4,0,0,1200,0.19536055265189103,-166.67922098391054,-5.169444061443647
641,1.0,12054,60120,1.0,0.0,0.0,98.19,8,1,3,3300,0.19959345488717442,-53.20612102027621,-1.4226747780313476
652,0.768,11688,256890,3.0,3.0,2.0,99.18,10,0,0,22200,0.08275627789203535,86.96812667647532,1.9540828510436825
681,0.902,18257,180150,1.0,1.0,2.0,98.92,19,1,2,7500,0.032532302058240106,-162.70115651248767,-5.019329190827899
694,0.957,14973,114110,1.0,0.0,0.0,99.53,5,0,3,7500,0.25368991667363927,92.35971404650722,2.0618058856094357
710,0.511,23374,365050,1.0,0.0,0.0,98.81,27,0,0,11700,0.41352748046476073,254.27744688370822,4.704319566091378
718,0.866,14244,66050,4.0,0.0,0.0,99.06,7,1,2,5400,0.14811197182823987,-29.063755096937673,-0.7536419230217017
737,0.154,16431,66120,0.0,1.0,1.0,97.89,9,0,1,3300,0.13132542745594622,-102.02582098076999,-2.9054492602337922
741,0.915,16073,131350,2.0,2.0,0.0,98.75,5,0,1,1200,0.042794105926481654,-298.8548703850254,-11.109480850188307
759,1.0,10228,77760,0.0,0.0,1.0,99.53,3,0,1,5700,0.14675219254974847,-23.34279292756141,-0.6009336275798782
769,1.0,12415,137630,2.0,1.0,1.0,99.66,7,1,3,3300,0.04552283897764907,-209.05879090824016,-6.86485836412591
772,0.485,13884,180120,3.0,0.0,0.0,98.89,7,0,2,3300,0.27834622965606254,-11.222986038995828,-0.2845478297772397
774,0.087,19721,65120,0.0,0.0,0.0,99.44,7,1,0,3300,0.8064810427878152,146.3753987497105,3.0645454488861104
782,0.112,15709,138000,0.0,0.0,0.0,98.24,8,0,2,11700,0.7499231519373641,378.9374698652989,6.122303009224412
822,0.873,16075,1534340,0.0,2.0,0.0,99.85,9,1,3,60000,0.22058425307237098,476.3262054810331,6.960267314071615
828,1.0,16432,170140,1.0,3.0,1.0,99.68,5,0,2,1200,0.04118498366955934,-301.7820314527262,-11.26452458201392
843,0.639,13513,325640,0.0,0.0,0.0,99.38,14,1,3,24300,0.4732375624162652,441.9375228566608,6.687373809432504
873,0.049,19357,315090,0.0,0.0,1.0,99.83,13,1,0,15900,0.3795904386353873,298.4361931251051,5.257831074915723
890,0.267,18262,96130,2.0,0.0,0.0,99.1,15,1,1,5400,0.35783042354980465,94.75119881705186,2.109124468397161
914,0.039,12422,97040,1.0,0.0,1.0,99.13,8,1,2,5400,0.16897421418406625,-12.091619408574209,-0.3069058507347333
923,0.65,12423,222110,0.0,0.0,0.0,99.04,17,1,0,13800,0.4392054574665263,299.30379092620996,5.268105666451022
931,0.938,14980,447080,1.0,0.0,0.0,98.48,22,0,1,51600,0.20425248744960733,421.17697586333855,6.510904082125284
935,0.976,16801,243150,1.0,1.0,0.0,99.79,4,1,2,11700,0.10617250626573888,29.63389865126857,0.7140700461868243
948,0.001,31030,180120,0.0,0.0,0.0,99.88,19,1,0,1200,0.7981207307033166,-5.7290287050514985,-0.14425631231305802
976,0.915,21175,447090,2.0,0.0,0.0,98.51,16,1,0,32700,0.20373756451542932,318.9705178976238,5.49513106120399
997,1.0,10227,92610,1.0,0.0,2.0,99.57,4,1,0,3300,0.08472386057330376,-148.91990556216675,-4.510678938832493
1001,0.069,19353,325120,0.0,0.0,0.0,99.17,18,0,0,32700,0.7284006815850628,632.6861045032216,7.943779000725097
1006,0.998,17169,219770,1.0,0.0,0.0,99.7,9,0,0,9600,0.29428390317558617,156.45323201383448,3.2370985066608937
1051,0.395,16798,54100,0.0,0.0,1.0,98.9,8,0,0,5400,0.28419968806855356,59.96130736046485,1.3920876188929698
1075,0.0,21914,129960,4.0,4.0,1.0,97.78,7,1,1,5400,0.05967274950799262,-134.1685890489866,-3.985297030046102
1079,0.724,19359,330070,0.0,0.0,0.0,98.44,19,0,2,34800,0.31211329455501186,428.2955010907571,6.572447874825204
1095,0.719,20083,385080,0.0,0.0,0.0,98.27,11,0,0,18000,0.33199859592683306,296.40436166188914,5.233681572127235
1104,1.0,11691,63630,3.0,0.0,0.0,98.02,5,1,3,5700,0.13200182589024853,-36.76788929968302,-0.9627681300780555
1115,0.397,18986,138030,0.0,0.0,0.0,96.74,14,0,3,5400,0.35353106459875644,92.87847628854276,2.0720943010567794
1142,1.0,24460,162090,1.0,2.0,0.0,99.42,7,1,3,3300,0.15365397701349498,-84.20455899817932,-2.3430912117460445
1164,0.737,22275,222060,3.0,1.0,1.0,98.23,16,0,0,1200,0.04205765420063502,-300.1827928581081,-11.179676689048739
1170,0.03,24469,471580,0.0,1.0,0.0,99.25,6,1,0,39000,0.2982873301300302,444.7190675520972,6.710329446287082
1173,0.704,10232,39100,0.0,0.0,0.0,96.34,7,1,0,5700,0.3699079813214677,108.43138791873966,2.3744334360863375
1184,0.216,24101,86840,0.0,0.0,0.0,98.71,14,1,2,5400,0.6960888935767376,206.75158795618617,4.036210369226428
1197,0.773,17167,51110,0.0,0.0,0.0,95.2,12,0,2,3300,0.3785079029244047,30.405123433397662,0.7319566456735693
1215,0.237,11688,810080,0.0,0.0,0.0,99.6,11,1,0,55800,0.6919123748418794,776.2752445066709,8.563949005153045
1229,0.026,16795,157330,2.0,2.0,1.0,98.95,6,0,0,11700,0.0661711449845109,-33.179616535869556,-0.8648644124401983
1289,0.884,12416,265650,0.0,0.0,0.0,98.81,17,1,3,26400,0.35786185059213826,395.7497194219191,6.281907401536412
1321,1.0,12421,84040,0.0,0.0,0.0,99.85,2,1,3,7500,0.23550022289461095,80.95937910036487,1.8323057684145272
1333,0.098,28840,92250,1.0,0.0,0.0,98.88,13,1,1,9600,0.5597529362446176,274.93348603480723,4.9708480177167065
1355,1.0,14241,30030,0.0,0.0,0.0,99.37,2,1,2,5700,0.27799455366619547,64.68076430379053,1.4930525029933084
1373,0.528,19359,130560,3.0,0.0,1.0,98.9,5,1,2,11700,0.1488519209813779,78.82525498992008,1.7886121295352064
1386,1.0,10962,48550,2.0,1.0,0.0,99.39,5,0,1,3300,0.09050448302038215,-142.11130688180768,-4.265775688068729
1407,0.66,22278,269380,0.0,0.0,1.0,98.18,20,1,0,13800,0.21981654624866176,168.65720027071572,3.440318222071502
1425,0.874,18258,144560,0.0,0.0,0.0,99.45,8,0,4,1200,0.5190701073276093,-59.96705815862193,-1.6173856426978905
1430,0.708,20445,360060,0.0,0.0,0.0,99.25,8,1,3,5400,0.5822839204451769,174.89507015482917,3.541820818554889
1484,0.0,14245,97700,0.0,7.0,0.0,99.81,3,1,0,7500,0.128055207883607,-5.361374047973712,-0.13493663830657976
1496,0.903,14610,45070,0.0,0.0,1.0,99.05,7,1,1,3300,0.13991152376958013,-94.90639607632566,-2.6777828952024674
1527,0.592,12416,160040,2.0,1.0,0.0,98.72,8,1,0,1200,0.08873827166856917,-239.6126937218745,-8.203553591409129
1545,0.905,16436,174150,0.0,0.0,0.0,97.97,9,0,0,9600,0.3641731932605616,193.64726651073607,3.837596212214438
1555,0.781,12422,152280,0.0,0.0,0.0,99.27,13,1,0,5400,0.4203813976142696,120.23254718859899,2.596123421346456
1573,0.0,19715,249100,1.0,1.0,0.0,98.8,12,0,0,22200,0.20740073837597559,244.7079743239731,4.576099765176879
1576,0.931,17170,150060,1.0,3.0,0.0,98.74,8,1,2,1200,0.05406275319440343,-280.6188382221747,-10.168705865404903
1584,0.419,17533,300070,0.0,0.0,0.0,99.05,16,1,1,3300,0.5522567269872538,85.73417427548851,1.9292238302371478
1605,0.329,21905,233520,4.0,0.0,1.0,99.88,9,0,0,18000,0.24878807265028952,239.39787693756068,4.503616114461168
1608,1.0,9134,43180,0.0,0.0,0.0,99.26,4,0,1,5700,0.30707374713022106,79.58463666655582,1.8041862851685309
1620,0.325,19352,237620,0.0,0.0,0.0,99.11,8,0,2,9600,0.7668222159717148,340.2356631189996,5.728368087264259
1622,0.484,17532,330450,0.0,0.0,0.0,99.12,9,1,1,11700,0.6332942767601825,341.640217251721,5.743341129460551
1655,0.913,18629,124020,3.0,0.0,2.0,97.77,12,1,3,9600,0.061095403273506925,-67.16224578753705,-1.8282496381649493
1683,0.882,18993,234110,0.0,0.0,0.0,99.22,7,1,0,13800,0.5224121305113802,335.7405556427312,5.680093735936259
1705,0.176,13152,248800,0.0,0.0,0.0,99.71,10,0,2,18000,0.7811147272988386,491.47599883591045,7.073242672794279
1711,1.0,17894,84550,0.0,0.0,0.0,99.86,4,0,2,11700,0.37398416957770064,234.99558939003327,4.442790356991523
1751,0.944,12050,186100,2.0,1.0,1.0,99.43,6,0,0,13800,0.04470465448681124,-61.12302643697763,-1.651007524785466
1758,0.0,9501,255140,1.0,0.0,0.0,99.18,9,0,0,24300,0.47067182472211705,440.6303840226365,6.676530946832376
1764,0.861,11695,180110,3.0,0.0,0.0,98.61,15,0,2,11700,0.1906099816501007,117.37774147645314,2.5430928335446055
1796,0.93,9869,129130,0.0,1.0,1.0,99.37,8,1,2,7500,0.062242384190996924,-93.65976835983226,-2.638333212117021
1839,0.832,24464,134250,5.0,0.0,0.0,98.68,13,1,0,9600,0.20113950639523448,94.6431726748211,2.1069931285033263
1865,0.147,17526,175130,0.0,1.0,0.0,99.71,7,0,2,1200,0.21884082717061423,-155.30429243570092,-4.74414159786533
1897,0.25,16433,220290,0.0,2.0,0.0,99.64,6,1,4,26400,0.2120119031968982,283.1008936600024,5.072494585663467
1900,0.337,13519,36080,0.0,0.0,2.0,99.6,4,0,2,1200,0.3121590689661296,-118.07249099891312,-3.433697921725505
1901,0.026,16802,138100,0.0,0.0,0.0,97.94,14,0,0,5400,0.6396720998658241,191.49358650008648,3.8043271142084656
1921,0.939,13155,108710,0.0,0.0,0.0,99.06,12,1,2,3300,0.3960750889023761,36.79735117168506,0.8788881041004504
1927,0.728,15710,169980,1.0,0.0,0.0,98.29,15,1,0,5400,0.17562575194589986,-7.025428122137678,-0.17718716783991617
1981,0.41,13148,67920,0.0,0.0,0.0,97.57,11,0,2,5400,0.3477514105188763,90.33339009027456,2.0214904744630493
1982,0.065,16437,360060,2.0,0.0,0.0,99.3,14,0,3,26400,0.5799191933853971,513.1759150423256,7.227788698851074
1986,0.685,19351,270070,2.0,0.0,3.0,99.31,13,0,1,11700,0.1269969287530673,55.22827442558417,1.289628806158627
1998,0.971,16796,109300,0.0,0.0,0.0,97.39,13,1,3,5400,0.2981607967317856,67.04902201305666,1.5432703054068397
2027,0.421,18992,390120,0.0,0.0,0.0,99.09,20,0,1,13800,0.552489697587193,347.83704130924326,5.808777364906167
2072,0.734,16433,141530,0.0,0.0,0.0,98.54,15,0,2,1200,0.34828918010816345,-106.05973235750965,-3.036256328247482
2101,0.535,15708,69040,0.0,0.0,0.0,99.27,6,1,2,5700,0.5063930729887153,160.11351287063184,3.2987015185736723
2141,0.0,18623,180070,0.0,0.0,0.0,99.83,4,0,2,7500,0.7748405016638202,290.702125267124,5.165248266422891
2173,0.423,16070,216070,0.0,0.0,0.0,99.69,11,1,2,11700,0.6451648064174127,345.6618630500253,5.785923641683041
2178,0.012,21905,105670,0.0,0.0,0.0,99.54,24,1,1,5400,0.7327740573474941,216.1806008672358,4.1751480033650425
2179,0.262,19357,85030,4.0,0.0,0.0,98.54,18,1,0,9600,0.29228484880283656,155.29527812437243,3.2174923213092455
2197,0.622,21911,251120,2.0,2.0,1.0,98.44,15,1,0,1200,0.04774532348464938,-290.3967919034712,-10.667802876330722
2266,0.86,18993,210090,0.0,0.0,0.0,97.28,20,1,1,13800,0.25883498899200436,197.50373848641482,3.8967235692447124
2291,0.682,16433,108110,0.0,2.0,0.0,98.76,5,0,0,5400,0.09189644843323715,-86.68585935813154,-2.4198964782912324
2293,0.111,10956,190110,1.0,0.0,0.0,99.77,16,0,2,22200,0.3983774133021618,380.72629153949134,6.139605562467687
2302,0.923,18261,189090,1.0,2.0,1.0,99.71,6,1,0,9600,0.0387268844343191,-118.88965870824877,-3.4611699341192326
2306,0.181,24096,291140,0.0,0.0,1.0,97.57,23,0,0,20100,0.4575785160098564,389.6119581363718,6.224415528314406
2310,0.496,15704,115080,2.0,0.0,0.0,97.28,19,1,2,11700,0.1516138651296347,81.6144791414174,1.8456714626595239
2319,0.987,19722,195100,4.0,2.0,3.0,98.65,13,0,2,7500,0.03355617833940592,-159.59638707412137,-4.903201575059488
2322,1.0,13517,112630,0.0,3.0,0.0,99.37,5,1,3,13800,0.09070612390432777,30.704332356223674,0.7388867565835378
2335,0.295,22275,219540,0.0,0.0,0.0,99.02,19,0,1,11700,0.7078730671908072,366.029232154758,5.995126427496718
2354,0.982,21541,103850,0.0,0.0,0.0,99.33,11,1,0,3300,0.41239769877223,42.543599021591625,1.0089818522107452
2364,0.365,17892,38920,0.0,0.0,0.0,95.7,6,0,0,1200,0.5473046172024223,-53.55649666808791,-1.4326847291329359
2365,0.03,22275,306590,0.0,0.0,0.0,97.55,20,1,0,20100,0.655124941614173,475.06361606132907,6.950657319383597
2372,0.907,22636,50290,2.0,0.0,0.0,98.33,14,0,0,5400,0.2063868420178011,14.628979379951177,0.3591175533275137
2375,0.039,15701,930060,1.0,0.0,1.0,99.74,11,1,1,60000,0.2760700183611562,533.6227230236485,7.365934986509826
2382,0.244,17533,258080,0.0,0.0,0.0,99.49,17,0,2,3300,0.6682850867424526,115.58502294962834,2.5095974908846186
2413,0.924,14242,164170,4.0,0.0,0.0,99.02,10,1,3,9600,0.14048203560677808,41.24869738191813,0.9798284788774714
2423,0.76,16434,282110,0.0,0.0,0.0,98.98,21,1,3,13800,0.408148789896901,284.3698740361736,5.088102084746506
2446,0.033,14613,225060,1.0,0.0,0.0,99.29,8,1,0,15900,0.5449751644892388,376.12569585719655,6.094948961084484
2454,0.735,18623,114080,0.0,0.0,0.0,99.41,8,0,3,7500,0.5361795617706849,219.1678290795772,4.218486380456865
2499,0.885,17900,184560,3.0,4.0,1.0,99.16,13,0,3,20100,0.07287215841904245,53.142041499386565,1.2440804709042852
2537,0.999,14615,128780,1.0,1.0,1.0,99.54,10,1,1,9600,0.05726077636408636,-74.81427936743444,-2.056703248056262
2614,0.531,16066,210110,0.0,0.0,0.0,99.04,12,1,4,13800,0.5202645765367319,334.8570209446784,5.670541222156809
2625,0.701,12415,111130,1.0,3.0,0.0,99.76,5,1,3,9600,0.1152331807431059,13.614805425005798,0.33464270955209874
2648,0.692,21909,66880,0.0,0.0,0.0,98.91,10,1,0,3300,0.46880684156368796,61.14366990297487,1.4174942335287566
2655,0.83,14978,66130,0.0,2.0,0.0,99.28,10,1,0,3300,0.1131938537979584,-118.37729684306196,-3.443938497051664
2680,0.002,21548,288140,0.0,0.0,0.0,99.79,10,0,1,13800,0.8635614122592425,450.55390928031727,6.757967915453831
2685,0.989,16434,142600,0.0,0.0,0.0,98.68,12,0,3,11700,0.37972416071891574,237.88661333739998,4.482810623737304
2686,0.321,17526,165030,0.0,1.0,0.0,99.43,7,0,2,3300,0.16122882588478604,-78.62766457313784,-2.1721950261198275
2687,0.789,17899,109770,3.0,1.0,0.0,99.52,6,0,0,1200,0.09648016729627175,-232.35152629310488,-7.876087193184205
2739,1.0,14972,135070,0.0,0.0,0.0,99.73,6,0,0,5400,0.4424494907743061,128.5332728536092,2.748184068164262
2761,0.604,8045,87050,0.0,0.0,0.0,99.52,6,1,3,1200,0.4961820655588593,-65.3690150458334,-1.7753413705131504
2794,0.084,22643,107140,0.0,1.0,0.0,99.3,17,1,1,7500,0.23853504607141685,82.90713364353923,1.871980752474357
2795,1.0,8403,78050,0.0,0.0,2.0,99.86,4,0,2,5700,0.13505447539610588,-33.89635253511871,-0.8843499633498375
2814,0.449,14970,287530,1.0,0.0,1.0,98.83,16,1,2,20100,0.1695649211027023,189.10394648251193,3.767202762667703
2815,1.0,23369,85170,1.0,0.0,0.0,97.67,8,0,2,1200,0.3169092421055536,-116.43146558696941,-3.3786982195885273
2856,0.979,17161,112590,1.0,4.0,0.0,98.91,7,0,1,1200,0.05093411408421591,-285.3335232897039,-10.407835111756572
2895,0.757,26653,105040,0.0,0.0,0.0,97.94,9,0,2,7500,0.4910485680349147,203.03415424260976,3.980527039565912
2915,0.658,19717,92520,1.0,0.0,0.0,99.66,7,1,1,5400,0.31753587112428333,76.47535776637021,1.7402303595541135
2916,0.927,21176,250120,1.0,0.0,0.0,98.87,14,1,2,22200,0.24653926153926203,278.6022199630006,5.016763681664489
2934,1.0,9505,60070,0.0,3.0,0.0,99.42,5,1,0,1200,0.1005075801992308,-228.76358040539625,-7.716458105304498
2944,0.932,23736,74350,3.0,0.0,0.0,97.13,8,0,0,7500,0.18353941339563218,44.178477624214366,1.0456549141170446
2947,0.719,20816,300150,0.0,0.0,0.0,98.28,12,1,1,9600,0.3810641771533932,201.8163878516192,3.9621733359307743
2950,0.52,22274,212560,2.0,0.0,0.0,98.36,18,1,2,9600,0.22928908319945082,115.28235520635987,2.50392758797523
3028,1.0,11688,73110,1.0,0.0,0.0,99.48,5,1,0,3300,0.20041962386127143,-52.70284854539697,-1.4083120208882738
3032,0.8,19719,83510,1.0,1.0,1.0,96.05,21,0,0,9600,0.06372681276343205,-62.12841467625404,-1.6803288233126668
3035,1.0,12424,141130,0.0,5.0,1.0,98.98,7,1,0,9600,0.05312227551288796,-83.54295098963051,-2.322692366456023
3074,0.818,12787,147070,1.0,1.0,0.0,99.49,7,0,3,11700,0.10533114745861583,28.5210813155629,0.6882002178036051
3099,0.958,13520,281680,0.0,0.0,0.0,98.85,15,0,2,15900,0.363712628294521,289.71093177494106,5.153252974354987
3164,0.944,16798,121590,1.0,0.0,0.0,98.63,8,1,3,5400,0.20732688792734985,15.25008211538325,0.3740758831466273
3194,0.551,16067,198060,0.0,1.0,1.0,99.73,7,1,1,13800,0.10474298828923141,51.218797285908074,1.2018796702266632
3219,0.938,18987,108080,2.0,0.0,2.0,98.26,12,1,0,5400,0.08726933747289002,-92.58619585526746,-2.604458273854573
3240,0.93,22280,315030,4.0,0.0,0.0,99.47,15,1,2,20100,0.18995456182543272,209.6080349575989,4.078646789674771
3275,0.918,16075,114070,0.0,1.0,1.0,95.63,15,0,1,1200,0.07249687314005972,-256.74458809210205,-9.000144097645768
3278,0.866,14249,156310,4.0,4.0,2.0,98.73,13,0,3,13800,0.03257614476176315,-97.91716213674908,-2.773567520513587
3280,0.528,16797,300120,0.0,0.0,0.0,99.61,10,0,2,13800,0.6026505267873326,366.9519726595102,6.004354427247403
3316,0.549,20088,114830,0.0,0.0,0.0,97.94,12,1,0,7500,0.46443162870318894,192.98905159746576,3.827447399192623
3330,1.0,16802,56810,0.0,3.0,0.0,98.25,5,0,1,5400,0.060444859144584195,-132.8125765607971,-3.937966707450178
3331,0.887,16439,141400,0.0,0.0,1.0,98.79,6,0,2,3300,0.16968876224210405,-72.63976050959793,-1.9913372620589675
3344,0.358,26288,346020,0.0,1.0,0.0,99.18,18,1,1,18000,0.23512662974786797,228.71201442067004,4.354803215591626
3347,0.39,16071,358630,2.0,1.0,0.0,98.28,20,1,2,20100,0.21945327417835214,236.52343738223587,4.463976299098253
3362,0.152,17162,240060,0.0,0.0,0.0,99.81,6,1,1,13800,0.8365389813865924,442.8685574518996,6.695075267012496
3364,0.695,21911,196270,1.0,0.0,0.0,99.07,9,0,0,9600,0.3964216322653946,209.01068808215155,4.069797429050466
3372,0.257,15704,322040,0.0,0.0,0.0,98.45,9,1,3,22200,0.6181035369176854,485.3507799044789,7.028080194244588
3379,1.0,10594,76000,0.0,2.0,0.0,99.73,4,1,1,5400,0.08719645479612664,-92.68110779239392,-2.6074494125870062
3393,0.708,17892,208460,0.0,0.0,0.0,98.9,10,0,0,18000,0.5168430313902066,392.22347125183876,6.248985206909445
3397,0.444,23009,165050,0.0,0.0,0.0,99.2,17,0,1,7500,0.6218825826002179,247.1888025546532,4.609635075556867
3398,1.0,9867,67270,1.0,2.0,1.0,99.22,4,0,1,3300,0.038650378135390864,-223.81613326891323,-7.498679591461242
3405,0.649,19719,138680,0.0,0.0,0.0,98.97,11,0,2,1200,0.47927260484595285,-69.48792675203205,-1.8972217904590738
3419,0.382,8775,24090,0.0,1.0,0.0,99.53,4,1,0,5700,0.19544032862691246,14.57024877102665,0.35770191216156433
3423,0.496,19717,149590,1.0,0.0,0.0,99.06,6,1,0,3300,0.36763624110482984,26.333559460949562,0.6371363019578791
3427,0.264,20817,198040,1.0,0.0,0.0,99.42,12,1,0,15900,0.49282937143574324,353.8148979570328,5.870947969327656
3428,0.439,20813,178120,0.0,0.0,0.0,98.06,17,1,0,9600,0.44258542901742265,229.44522004540062,4.365141462708396
3449,0.35,22636,240150,4.0,3.0,0.0,98.61,23,1,0,18000,0.10976311682270114,98.21054460044053,2.1770733888615856
3469,0.975,20811,156080,0.0,0.0,0.0,98.19,17,1,0,7500,0.31600893210338843,127.22016900896925,2.7243389822839417
3476,0.357,16071,105140,0.0,0.0,0.0,98.82,8,1,2,1200,0.5832486557409633,-45.762355475901906,-1.2120711782766036
3486,0.221,16804,51270,1.0,0.0,0.0,98.43,7,0,0,1200,0.3524474874879327,-104.74209111722774,-2.993384207215952
3493,0.852,16800,361240,1.0,0.0,0.0,99.03,15,1,1,30600,0.29600229471114203,386.13129699008545,6.191418346072457
3496,1.0,18257,69070,1.0,4.0,0.0,99.04,4,0,0,3300,0.046201038105353046,-207.70434114889233,-6.807848431578083
3501,0.511,11694,58930,3.0,0.0,2.0,99.31,5,0,2,3300,0.10937472623226861,-122.0864920190991,-3.5691837781248092
3510,0.139,19352,225040,1.0,2.0,0.0,99.81,16,0,0,9600,0.18071763236870603,78.24390468534385,1.7766692207716783
3511,0.0,10961,72060,1.0,1.0,2.0,97.62,7,1,0,3300,0.0632527437375744,-178.06929305924817,-5.607605470978134
3554,0.9,15337,75060,0.0,0.0,0.0,96.45,14,1,0,3300,0.28462705314191356,-8.295991243503451,-0.20956546068410464
